,Words,Sentences,Climate mentions,Climate per 1000 words
count,10991.0,10991.0,10991.0,10991.0
mean,2875.9031025384406,105.93794923118915,2.5499044672914204,1.2032808418825285
std,1477.0550694043732,51.978074821809145,4.851145258435702,2.3765531961708017
min,416.0,14.0,0.0,0.0
25%,1857.0,72.0,0.0,0.0
50%,2529.0,96.0,1.0,0.22266755733689603
75%,3587.0,128.0,3.0,1.1550679565537014
max,21836.0,857.0,59.0,25.122549019607842
