Country group,Talk,n,Median CO2 change (%)
All countries (pooled),Mentioned climate,173,2.2152964959568644
All countries (pooled),Did not mention,19,7.361931271298872
Annex I (developed),Mentioned climate,37,-18.914971309337513
Annex I (developed),Did not mention,4,-22.981693548845783
Non-Annex I (developing),Mentioned climate,136,7.822224617639007
Non-Annex I (developing),Did not mention,15,8.352080989876276
